year,experiment,burntFractionAll,mrsos,tas,tas_smooth,mrsos_smooth,burntFractionAll_smooth
2022,ssp126,,28.668303515859744,14.762737629528146,14.926409634710996,28.02754404913984,
2023,ssp126,,26.524116903181437,15.370714733040929,14.99938260516626,27.76311030809494,
2024,ssp126,,26.959568892568427,14.7258423253312,14.94629569037184,27.914770658585695,
2025,ssp126,,28.62370306327528,15.511781436873832,15.053012174057141,27.96461799219861,
2026,ssp126,,28.409950887009167,15.041512614540864,15.141022073589307,27.88095543167247,
2027,ssp126,,26.266999958770487,15.685194897276176,15.1318902286563,27.882452990991464,
2028,ssp126,,28.49391521853433,14.791724205070636,15.237136339200873,27.86684644042213,
2029,ssp126,,28.793426356898912,15.260244285292517,15.24625152104856,28.029126969296254,
2030,ssp126,,28.17133614982716,15.111785611837549,15.357769163980942,28.042642422280256,
2031,ssp126,,27.91320896398967,15.057364547771158,15.409240282908673,27.851046928261944,
2032,ssp126,,28.512238010166435,15.815198734973876,15.44784680904848,27.891495355867455,
2033,ssp126,,28.146922191922645,15.4618665515178,15.468670875406849,28.07235387204519,
2034,ssp126,,27.09472342240849,15.84101875465501,15.519450916915156,28.085393328573666,
2035,ssp126,,26.707748123092173,16.02649262615114,15.567054942613606,27.908300996063655,
2036,ssp126,,28.814435163064207,15.427577875938937,15.62283147304566,27.85689079594551,
2037,ssp126,,28.075585120547903,15.89343556085987,15.645462102097332,27.81550329897047,
2038,ssp126,,28.624309783819083,15.299524620153704,15.667591027283976,27.741213931134183,
2039,ssp126,,27.02250303179879,15.73628454227702,15.718317787793632,27.753673225055536,
2040,ssp126,,27.65723414864572,15.669550916158071,15.820319802970351,27.65815862966707,
2041,ssp126,,27.499333994239265,15.28367083828789,15.684490958657346,27.853368908472902,
2042,ssp126,,27.769344331803577,16.036487986840314,15.691310482586005,27.840373294836155,
2043,ssp126,,28.271515131136145,15.96913415661436,15.689802805786366,27.79806198839239,
2044,ssp126,,26.139577468523846,16.86103890642221,15.746293090445466,27.631289826541245,
2045,ssp126,,28.65985091115047,14.66820418302109,15.757898124608465,27.627384530611238,
2046,ssp126,,28.684479026696746,15.495773115225518,15.767785383323162,27.70647618962179,
2047,ssp126,,27.652472056110277,15.87835879286348,15.79347760420651,27.855560253795772,
2048,ssp126,,26.95658816530762,15.8644274667447,15.764094205985288,27.81989469241496,
2049,ssp126,,26.98345007249873,15.85233488390702,15.795874213051558,27.809234465068368,
2050,ssp126,,28.448150738751195,15.76842350330503,15.712958574052475,27.895680216136935,
2051,ssp126,,28.99017463597914,15.540593047121376,15.867274394512567,27.85213402745432,
2052,ssp126,,27.41268871799545,15.742654004628092,15.930208640723578,27.76215286566609,
2053,ssp126,,28.16491285767019,16.286934227277072,15.924926476138541,27.801026395804115,
